0	2	0	1	1	Holy cow.  It cost me like $25 to get a couple of sweaters dry cleaned here last year.   Granted, they did a good job, and they packed them in some really nice covers, but ouch.  Check pricing before you drop off your stuff here.
0	5	0	0	0	their prices may be higher than some asian cleaners but their quality of service is excellent. it really shows they take care of their customers clothing. i have never had my shirts packed so nicely when i pick them up at other cleaners. and looking over their work i found no flaws. ...  ... you get what you pay for here. and i will continue to be their customer :)
0	1	0	0	0	I had a very bad experience with the store.  Very rude seamstress. She cost the company she works for money because my husband and I will never go there again.  If you are looking for a friendly family business, do not go to Boston cleaners on West Charleston they are expensive, rude and unfriendly.
0	5	0	0	0	I was on vacation and found this cleaners in the area. They were super friendly and the place is clean. The prices are a bit higher then other places, but they found some casino chips in my pants pocket and returned them to me when I picked up my clothes! VERY IMPRESSED!
2	4	0	0	1	Burgers, Fries and a milkshake. Life doesn't get any better. The burgers are really good and so are the fries. But what really sticks out are the milkshakes. The Oreo milkshake is my favorite and I cannot get enough. This is the place to go to satisfy that burger, fries and a milkshake craving after a hot summer day of chilling by the pool.
2	5	0	1	1	Everyone in my family was sad to see this place close down several years ago but we were all excited to see it open again on a recent trip.  Great fries, great garden burgers (most of us are vegetarian) and great milkshakes.  A recent trip to Chandler Mall included lunch at Ruby's followed by a trip later in the shopping spree to consume some milkshakes.  Not a bad way to spend the day (and 5,000 calories!).
2	4	1	2	1	I love me some diner food and this is a good place to find it.  4 stars for the diner category.  Our first visit here was for brunch.  I tried out the Carnitas Skillet.  It was good, but I discovered carnitas is not great in a scramble.  The potatoes were great.  My wife had Huevos Rancheros and was gracious enough to share with me...good stuff. ...  ... The kids had a burger & mac' n cheese.  Both were good.  The staff here was very friendly and helpful and every request for this or that was met with a "sure!". ...  ... Our waitress was very good and had this almost Amy Winehouse look going on.  I thought she was hitting on my wife as she kept referring to her as "sweetie" or "honey" or "babe" or...but by midway through the meal this had transferred to all of us.
3	3	0	0	0	3 1/2 STARS ...  ... This is Marriott's TIME-SHARE complex across from their luxury hotel. We traded a time-share for a week here in May. I must say, the place was packed - it appeared to be fully occupied. ...  ... Our room was small but just fine for us. The employees were all friendly and the grounds were kept in good shape. ...  ... We found this to be a good place to use as a base for a week's holiday while taking day-trips to the Grand Canyon, Sedona, Prescott, Scottsdale, the Phoenix Botanical Garden, and so on...
3	4	1	3	0	My friend got the time-share suite (2 bedrooms, living room, kitchen, and 2 balaconys).  SWEET!  We had a wonderful time enoying complex.  The grounds were well kept.   ...  ... The pool area was walking distance.  2 large pools (1 pool had a waterfall, volleyball, and basketball), 2 hot tub areas, 1 kiddie pool.   ...  ... Stayaction for the weekend!
3	5	0	3	0	I traded my lockout unit (Extra bedroom) from Desert Springs Marriott Villas in Palm Desert for a one bedroom, living room and dinning area and kitchen. The unit was on the third floor end unit which had a terrific view of the Wildfire Faldo golf course.  ...  ... Marriott Vacation Club is awesome. I've owned the two bedroom unit in Palm Desert location for 16 years and also a two bedroom week in Newport Beach Coast for eleven years. The program is nice BC it allows me to occupy, trade, rent, deposit outside of Marriott or trade my weeks for reward points or vacation points.  ...  ... Canyon Villas is located at the JW Marriott which is great due to you'll have all the amenities of the hotel pool, spa, hotel restaurants, and two 18 hole golf courses within minutes of your villa. If you choose to use the villa amenities  there are several pools, a fitness center, beach volleyball, and daily activities.  ...  ... I highly recommend ownership in Marriott vacation club, the program has enabled me to travel to Phuket & Bangkok Thailand, Hong Kong, Macau, Shanghai, Xian, & Beijing China, Bali & Singapore Indonesia, Ho Chi Men Vietnam, several islands in Hawaii, Paris France, Cancun, Puerta Vallarta Mexico, Boston, several cities in Florida, West Virgina, Manhattan, New Orleans, Hilton Head and Savannah. I know i'm missing some places but you get the drift.  ...  ... I've never been let down with Marriott Vacation Club locations that's why I try to stay within the Marriott family - with other timeshares you don't know what your getting. Another pointer is never buy outside the U.S. International Timeshares go under and your screwed. I had a co worker that had that happen in a resort in Mexico.
4	2	0	1	1	Holy cow.  It cost me like $25 to get a couple of sweaters dry cleaned here last year.   Granted, they did a good job, and they packed them in some really nice covers, but ouch.  Check pricing before you drop off your stuff here.
4	5	0	0	0	their prices may be higher than some asian cleaners but their quality of service is excellent. it really shows they take care of their customers clothing. i have never had my shirts packed so nicely when i pick them up at other cleaners. and looking over their work i found no flaws. ...  ... you get what you pay for here. and i will continue to be their customer :)
4	1	0	0	0	I had a very bad experience with the store.  Very rude seamstress. She cost the company she works for money because my husband and I will never go there again.  If you are looking for a friendly family business, do not go to Boston cleaners on West Charleston they are expensive, rude and unfriendly.
4	5	0	0	0	I was on vacation and found this cleaners in the area. They were super friendly and the place is clean. The prices are a bit higher then other places, but they found some casino chips in my pants pocket and returned them to me when I picked up my clothes! VERY IMPRESSED!
5	4	0	0	1	Burgers, Fries and a milkshake. Life doesn't get any better. The burgers are really good and so are the fries. But what really sticks out are the milkshakes. The Oreo milkshake is my favorite and I cannot get enough. This is the place to go to satisfy that burger, fries and a milkshake craving after a hot summer day of chilling by the pool.
5	5	0	1	1	Everyone in my family was sad to see this place close down several years ago but we were all excited to see it open again on a recent trip.  Great fries, great garden burgers (most of us are vegetarian) and great milkshakes.  A recent trip to Chandler Mall included lunch at Ruby's followed by a trip later in the shopping spree to consume some milkshakes.  Not a bad way to spend the day (and 5,000 calories!).
5	4	1	2	1	I love me some diner food and this is a good place to find it.  4 stars for the diner category.  Our first visit here was for brunch.  I tried out the Carnitas Skillet.  It was good, but I discovered carnitas is not great in a scramble.  The potatoes were great.  My wife had Huevos Rancheros and was gracious enough to share with me...good stuff. ...  ... The kids had a burger & mac' n cheese.  Both were good.  The staff here was very friendly and helpful and every request for this or that was met with a "sure!". ...  ... Our waitress was very good and had this almost Amy Winehouse look going on.  I thought she was hitting on my wife as she kept referring to her as "sweetie" or "honey" or "babe" or...but by midway through the meal this had transferred to all of us.
